Input_1,Input_2,Input_3,Output_1,Output_2,Output_3
22.0,95.0,10.0,5.7320,4.2820,5.4481
22.0,100.0,10.0,5.7310,4.2840,5.4517
26.0,10.0,1.0,6.9760,6.3450,5.2718
26.0,15.0,1.0,7.0490,6.3270,5.2903
26.0,20.0,1.0,7.0640,6.3230,5.3034
26.0,25.0,1.0,7.0840,6.3200,5.3133
26.0,30.0,1.0,7.0300,6.2920,5.3207
26.0,35.0,1.0,7.0290,6.2900,5.3258
26.0,40.0,1.0,7.0280,6.2860,5.3293
26.0,45.0,1.0,6.9750,6.2480,5.3303
26.0,50.0,1.0,6.9720,6.2440,5.3347
26.0,55.0,1.0,6.9680,6.2400,5.3356
26.0,60.0,1.0,6.9650,6.2210,5.3356
26.0,65.0,1.0,6.8910,6.1820,5.3402
26.0,70.0,1.0,6.8880,6.1760,5.3412
26.0,75.0,1.0,6.8860,6.1730,5.3418
26.0,80.0,1.0,6.8850,6.1680,5.3424
26.0,85.0,1.0,6.8850,6.1650,5.3429
26.0,90.0,1.0,6.8860,6.1590,5.3429
26.0,95.0,1.0,6.8880,6.1530,5.3436
26.0,100.0,1.0,6.8910,6.1430,5.3458
26.0,10.0,2.0,6.7030,6.0100,5.2796
26.0,15.0,2.0,6.7080,6.0030,5.3042
26.0,20.0,2.0,6.6940,5.9730,5.3224
26.0,25.0,2.0,6.7270,5.9660,5.3384
26.0,30.0,2.0,6.7510,5.9620,5.3488
26.0,35.0,2.0,6.7680,5.9600,5.3565
26.0,40.0,2.0,6.7340,5.9390,5.3628
26.0,45.0,2.0,6.7230,5.9210,5.3682
26.0,50.0,2.0,6.7200,5.9190,5.3750
26.0,55.0,2.0,6.7160,5.9170,5.3777
26.0,60.0,2.0,6.7130,5.9150,5.3809
26.0,65.0,2.0,6.6670,5.8870,5.3827
26.0,70.0,2.0,6.6600,5.8810,5.3857
26.0,75.0,2.0,6.6560,5.8780,5.3876
26.0,80.0,2.0,6.6520,5.8720,5.3885
26.0,85.0,2.0,6.6210,5.8410,5.3922
26.0,90.0,2.0,6.6110,5.8320,5.3931
26.0,95.0,2.0,6.6100,5.8270,5.3938
26.0,100.0,2.0,6.6190,5.8270,5.3964
26.0,10.0,3.0,6.5650,5.7630,5.2821
26.0,15.0,3.0,6.5550,5.7300,5.3095
26.0,20.0,3.0,6.5560,5.7230,5.3303
26.0,25.0,3.0,6.5520,5.7150,5.3488
26.0,30.0,3.0,6.5470,5.7110,5.3611
26.0,35.0,3.0,6.5420,5.7070,5.3707
26.0,40.0,3.0,6.5190,5.6720,5.3796
26.0,45.0,3.0,6.5150,5.6630,5.3869
26.0,50.0,3.0,6.5140,5.6620,5.3924
26.0,55.0,3.0,6.5130,5.6610,5.3973
26.0,60.0,3.0,6.5130,5.6600,5.4023
26.0,65.0,3.0,6.5120,5.6590,5.4053
26.0,70.0,3.0,6.5110,5.6570,5.4087
26.0,75.0,3.0,6.5100,5.6560,5.4123
26.0,80.0,3.0,6.5090,5.6550,5.4148
26.0,85.0,3.0,6.5070,5.6500,5.4167
26.0,90.0,3.0,6.5060,5.6470,5.4196
26.0,95.0,3.0,6.4770,5.6000,5.4231
26.0,100.0,3.0,6.4710,5.5930,5.4252
26.0,10.0,4.0,6.4560,5.5700,5.2824
26.0,15.0,4.0,6.4410,5.5200,5.3110
26.0,20.0,4.0,6.4420,5.5120,5.3327
26.0,25.0,4.0,6.4080,5.4480,5.3520
26.0,30.0,4.0,6.4030,5.4430,5.3653
26.0,35.0,4.0,6.4270,5.4970,5.3756
26.0,40.0,4.0,6.4230,5.4940,5.3852
26.0,45.0,4.0,6.4210,5.4930,5.3927
26.0,50.0,4.0,6.4200,5.4920,5.3991
26.0,55.0,4.0,6.4190,5.4910,5.4048
26.0,60.0,4.0,6.4180,5.4910,5.4102
26.0,65.0,4.0,6.4170,5.4900,5.4140
26.0,70.0,4.0,6.4160,5.4890,5.4182
26.0,75.0,4.0,6.4150,5.4870,5.4218
26.0,80.0,4.0,6.3880,5.4420,5.4256
26.0,85.0,4.0,6.3830,5.4360,5.4295
26.0,90.0,4.0,6.3820,5.4300,5.4327
26.0,95.0,4.0,6.3810,5.4300,5.4364
26.0,100.0,4.0,6.3800,5.4310,5.4402
26.0,10.0,5.0,6.3870,5.4290,5.2824
26.0,15.0,5.0,6.3490,5.3410,5.3112
26.0,20.0,5.0,6.3220,5.2860,5.3331
26.0,25.0,5.0,6.3180,5.2820,5.3528
26.0,30.0,5.0,6.3120,5.2770,5.3666
26.0,35.0,5.0,6.3060,5.2740,5.3775
26.0,40.0,5.0,6.3020,5.2720,5.3883
26.0,45.0,5.0,6.3000,5.2720,5.3962
26.0,50.0,5.0,6.2980,5.2700,5.4030
26.0,55.0,5.0,6.2970,5.2690,5.4093
26.0,60.0,5.0,6.2960,5.2690,5.4147
26.0,65.0,5.0,6.2950,5.2690,5.4187
26.0,70.0,5.0,6.2940,5.2690,5.4228
26.0,75.0,5.0,6.2930,5.2690,5.4265
26.0,80.0,5.0,6.2920,5.2690,5.4304
26.0,85.0,5.0,6.2910,5.2700,5.4345
26.0,90.0,5.0,6.2900,5.2700,5.4378
26.0,95.0,5.0,6.2890,5.2700,5.4417
26.0,100.0,5.0,6.2880,5.2700,5.4458
26.0,10.0,6.0,6.3690,5.3980,5.2824
26.0,15.0,6.0,6.2440,5.1350,5.3113
26.0,20.0,6.0,6.2180,5.0850,5.3333
26.0,25.0,6.0,6.2130,5.0770,5.3530
26.0,30.0,6.0,6.1690,5.0050,5.3669
26.0,35.0,6.0,6.1630,5.0010,5.3778
26.0,40.0,6.0,6.1580,4.9990,5.3885
26.0,45.0,6.0,6.1560,4.9990,5.3966
26.0,50.0,6.0,6.1530,4.9980,5.4041
26.0,55.0,6.0,6.1520,4.9980,5.4106
26.0,60.0,6.0,6.1510,5.0020,5.4168
26.0,65.0,6.0,6.1490,5.0020,5.4213
26.0,70.0,6.0,6.1480,5.0030,5.4256
26.0,75.0,6.0,6.1470,5.0040,5.4295
26.0,80.0,6.0,6.1460,5.0040,5.4336
26.0,85.0,6.0,6.1450,5.0060,5.4382
26.0,90.0,6.0,6.1440,5.0060,5.4415
26.0,95.0,6.0,6.1430,5.0080,5.4456
26.0,100.0,6.0,6.1440,5.0090,5.4499
26.0,10.0,7.0,6.3690,5.3980,5.2824
26.0,15.0,7.0,6.1570,4.9710,5.3113
26.0,20.0,7.0,6.1350,4.9230,5.3334
26.0,25.0,7.0,6.0980,4.8610,5.3531
26.0,30.0,7.0,6.0910,4.8630,5.3671
26.0,35.0,7.0,6.0840,4.8590,5.3780
26.0,40.0,7.0,6.0780,4.8570,5.3888
26.0,45.0,7.0,6.0760,4.8570,5.3969
26.0,50.0,7.0,6.0320,4.7870,5.4044
26.0,55.0,7.0,6.0310,4.7870,5.4108
26.0,60.0,7.0,6.0300,4.7860,5.4170
26.0,65.0,7.0,6.0290,4.7860,5.4215
26.0,70.0,7.0,6.0270,4.7870,5.4258
26.0,75.0,7.0,6.0260,4.7880,5.4297
26.0,80.0,7.0,6.0250,4.7890,5.4339
26.0,85.0,7.0,6.0230,4.7900,5.4385
26.0,90.0,7.0,6.0220,4.7910,5.4418
26.0,95.0,7.0,6.0200,4.7920,5.4459
26.0,100.0,7.0,6.0190,4.7940,5.4503
26.0,10.0,8.0,6.3690,5.3980,5.2824
26.0,15.0,8.0,6.0880,4.8400,5.3113
26.0,20.0,8.0,6.0640,4.7920,5.3334
26.0,25.0,8.0,6.0230,4.7270,5.3531
26.0,30.0,8.0,6.0160,4.7220,5.3671
26.0,35.0,8.0,5.9700,4.6520,5.3781
26.0,40.0,8.0,5.9630,4.6470,5.3889
26.0,45.0,8.0,5.9610,4.6520,5.3971
26.0,50.0,8.0,5.9580,4.6470,5.4045
26.0,55.0,8.0,5.9420,4.6220,5.4111
26.0,60.0,8.0,5.9410,4.6220,5.4172
26.0,65.0,8.0,5.9390,4.6300,5.4217
26.0,70.0,8.0,5.9370,4.6240,5.4260
26.0,75.0,8.0,5.9360,4.6250,5.4299
26.0,80.0,8.0,5.9340,4.6260,5.4342
26.0,85.0,8.0,5.9320,4.6280,5.4388
26.0,90.0,8.0,5.9310,4.6290,5.4421
26.0,95.0,8.0,5.9290,4.6370,5.4463
26.0,100.0,8.0,5.9280,4.6380,5.4506
26.0,10.0,9.0,6.3690,5.3980,5.2824
26.0,15.0,9.0,6.0320,4.7360,5.3113
26.0,20.0,9.0,6.0080,4.6860,5.3334
26.0,25.0,9.0,5.9780,4.6360,5.3531
26.0,30.0,9.0,5.9490,4.5960,5.3671
26.0,35.0,9.0,5.9090,4.5370,5.3781
26.0,40.0,9.0,5.9020,4.5380,5.3889
26.0,45.0,9.0,5.8990,4.5370,5.3971
26.0,50.0,9.0,5.8960,4.5390,5.4046
26.0,55.0,9.0,5.8570,4.4730,5.4111
26.0,60.0,9.0,5.8550,4.4740,5.4173
26.0,65.0,9.0,5.8540,4.4730,5.4218
26.0,70.0,9.0,5.8520,4.4740,5.4262
26.0,75.0,9.0,5.8500,4.4780,5.4300
26.0,80.0,9.0,5.8480,4.4790,5.4343
26.0,85.0,9.0,5.8470,4.4800,5.4390
26.0,90.0,9.0,5.8450,4.4810,5.4423
26.0,95.0,9.0,5.8430,4.4830,5.4464
26.0,100.0,9.0,5.8420,4.4850,5.4508
26.0,10.0,10.0,6.3690,5.3980,5.2824
26.0,15.0,10.0,5.9750,4.6280,5.3113
26.0,20.0,10.0,5.9370,4.5540,5.3334
26.0,25.0,10.0,5.8970,4.4830,5.3531
26.0,30.0,10.0,5.8530,4.4130,5.3671
26.0,35.0,10.0,5.8460,4.4100,5.3781
26.0,40.0,10.0,5.8020,4.3490,5.3889
26.0,45.0,10.0,5.7990,4.3520,5.3971
26.0,50.0,10.0,5.7960,4.3510,5.4046
26.0,55.0,10.0,5.7810,4.3310,5.4111
26.0,60.0,10.0,5.7590,4.2980,5.4173
26.0,65.0,10.0,5.7560,4.2990,5.4218
26.0,70.0,10.0,5.7540,4.3000,5.4262
26.0,75.0,10.0,5.7530,4.3030,5.4301
26.0,80.0,10.0,5.7510,4.3040,5.4344
26.0,85.0,10.0,5.7490,4.3060,5.4390
26.0,90.0,10.0,5.7180,4.2540,5.4424
26.0,95.0,10.0,5.7160,4.2550,5.4465
26.0,100.0,10.0,5.7150,4.2570,5.4509
30.0,10.0,1.0,6.9760,6.3450,5.2718
30.0,15.0,1.0,7.0490,6.3270,5.2903
30.0,20.0,1.0,7.0640,6.3230,5.3034
30.0,25.0,1.0,7.0840,6.3200,5.3133
30.0,30.0,1.0,7.0300,6.2920,5.3207
30.0,35.0,1.0,7.0290,6.2900,5.3258
30.0,40.0,1.0,7.0280,6.2860,5.3293
30.0,45.0,1.0,6.9750,6.2480,5.3303
30.0,50.0,1.0,6.9720,6.2440,5.3347
30.0,55.0,1.0,6.9680,6.2400,5.3356
30.0,60.0,1.0,6.9650,6.2210,5.3356
30.0,65.0,1.0,6.8910,6.1820,5.3402
30.0,70.0,1.0,6.8880,6.1760,5.3412
30.0,75.0,1.0,6.8860,6.1730,5.3418
30.0,80.0,1.0,6.8850,6.1680,5.3424
30.0,85.0,1.0,6.8850,6.1650,5.3429
30.0,90.0,1.0,6.8860,6.1590,5.3429
30.0,95.0,1.0,6.8880,6.1530,5.3436
30.0,100.0,1.0,6.8910,6.1430,5.3458
30.0,10.0,2.0,6.7030,6.0100,5.2796
30.0,15.0,2.0,6.7080,6.0030,5.3042
30.0,20.0,2.0,6.6940,5.9730,5.3224
30.0,25.0,2.0,6.7270,5.9660,5.3384
30.0,30.0,2.0,6.7510,5.9620,5.3488
30.0,35.0,2.0,6.7680,5.9600,5.3565
30.0,40.0,2.0,6.7340,5.9390,5.3628
30.0,45.0,2.0,6.7230,5.9210,5.3682
30.0,50.0,2.0,6.7200,5.9190,5.3750
30.0,55.0,2.0,6.7160,5.9170,5.3776
30.0,60.0,2.0,6.7130,5.9150,5.3791
30.0,65.0,2.0,6.6380,5.8700,5.3827
30.0,70.0,2.0,6.6300,5.8610,5.3848
30.0,75.0,2.0,6.6280,5.8590,5.3853
30.0,80.0,2.0,6.6270,5.8550,5.3884
30.0,85.0,2.0,6.6260,5.8530,5.3926
30.0,90.0,2.0,6.6250,5.8500,5.3949
30.0,95.0,2.0,6.6230,5.8450,5.3966
30.0,100.0,2.0,6.5960,5.7880,5.3983
30.0,10.0,3.0,6.5530,5.7420,5.2821
30.0,15.0,3.0,6.5440,5.7090,5.3098
30.0,20.0,3.0,6.5450,5.7010,5.3309
30.0,25.0,3.0,6.5410,5.6930,5.3497
30.0,30.0,3.0,6.5350,5.6890,5.3621
30.0,35.0,3.0,6.5090,5.6490,5.3717
30.0,40.0,3.0,6.5050,5.6430,5.3811
30.0,45.0,3.0,6.5040,5.6410,5.3881
30.0,50.0,3.0,6.5020,5.6400,5.3945
30.0,55.0,3.0,6.5020,5.6390,5.3991
30.0,60.0,3.0,6.5010,5.6380,5.4033
30.0,65.0,3.0,6.5000,5.6370,5.4067
30.0,70.0,3.0,6.4990,5.6360,5.4111
30.0,75.0,3.0,6.4980,5.6340,5.4149
30.0,80.0,3.0,6.4970,5.6330,5.4172
30.0,85.0,3.0,6.4960,5.6320,5.4198
30.0,90.0,3.0,6.4950,5.6280,5.4225
30.0,95.0,3.0,6.4930,5.6230,5.4258
30.0,100.0,3.0,6.4610,5.5760,5.4278
30.0,10.0,4.0,6.4410,5.5350,5.2824
30.0,15.0,4.0,6.4150,5.4680,5.3111
30.0,20.0,4.0,6.3870,5.4130,5.3332
30.0,25.0,4.0,6.3830,5.4020,5.3528
30.0,30.0,4.0,6.3770,5.3970,5.3662
30.0,35.0,4.0,6.3710,5.3940,5.3765
30.0,40.0,4.0,6.3950,5.4420,5.3866
30.0,45.0,4.0,6.3940,5.4410,5.3942
30.0,50.0,4.0,6.3920,5.4390,5.4013
30.0,55.0,4.0,6.3910,5.4390,5.4065
30.0,60.0,4.0,6.3900,5.4380,5.4112
30.0,65.0,4.0,6.3890,5.4380,5.4154
30.0,70.0,4.0,6.3880,5.4370,5.4201
30.0,75.0,4.0,6.3870,5.4360,5.4242
30.0,80.0,4.0,6.3860,5.4340,5.4276
30.0,85.0,4.0,6.3850,5.4330,5.4311
30.0,90.0,4.0,6.3830,5.4320,5.4346
30.0,95.0,4.0,6.3560,5.3900,5.4379
30.0,100.0,4.0,6.3530,5.3870,5.4409
30.0,10.0,5.0,6.3680,5.3940,5.2824
30.0,15.0,5.0,6.3250,5.2990,5.3112
30.0,20.0,5.0,6.3060,5.2540,5.3336
30.0,25.0,5.0,6.2710,5.1900,5.3534
30.0,30.0,5.0,6.2650,5.1850,5.3672
30.0,35.0,5.0,6.2590,5.1810,5.3777
30.0,40.0,5.0,6.2540,5.1790,5.3884
30.0,45.0,5.0,6.2520,5.1780,5.3962
30.0,50.0,5.0,6.2800,5.2390,5.4045
30.0,55.0,5.0,6.2790,5.2380,5.4101
30.0,60.0,5.0,6.2780,5.2380,5.4151
30.0,65.0,5.0,6.2770,5.2390,5.4197
30.0,70.0,5.0,6.2760,5.2390,5.4244
30.0,75.0,5.0,6.2750,5.2400,5.4286
30.0,80.0,5.0,6.2930,5.2760,5.4322
30.0,85.0,5.0,6.2920,5.2760,5.4354
30.0,90.0,5.0,6.2910,5.2740,5.4394
30.0,95.0,5.0,6.2900,5.2740,5.4429
30.0,100.0,5.0,6.2750,5.2380,5.4465
30.0,10.0,6.0,6.3280,5.3200,5.2824
30.0,15.0,6.0,6.2560,5.1570,5.3113
30.0,20.0,6.0,6.2300,5.1070,5.3337
30.0,25.0,6.0,6.2250,5.0990,5.3535
30.0,30.0,6.0,6.1800,5.0340,5.3672
30.0,35.0,6.0,6.1740,5.0260,5.3778
30.0,40.0,6.0,6.1690,5.0240,5.3886
30.0,45.0,6.0,6.1670,5.0240,5.3965
30.0,50.0,6.0,6.1650,5.0240,5.4050
30.0,55.0,6.0,6.1630,5.0230,5.4108
30.0,60.0,6.0,6.1620,5.0270,5.4163
30.0,65.0,6.0,6.1600,5.0230,5.4211
30.0,70.0,6.0,6.1600,5.0240,5.4259
30.0,75.0,6.0,6.1580,5.0240,5.4302
30.0,80.0,6.0,6.1570,5.0250,5.4341
30.0,85.0,6.0,6.1560,5.0260,5.4375
30.0,90.0,6.0,6.1550,5.0270,5.4412
30.0,95.0,6.0,6.1540,5.0290,5.4449
30.0,100.0,6.0,6.1540,5.0300,5.4486
30.0,10.0,7.0,6.3280,5.3200,5.2824
30.0,15.0,7.0,6.1760,5.0060,5.3113
30.0,20.0,7.0,6.1510,4.9500,5.3338
30.0,25.0,7.0,6.1090,4.8820,5.3537
30.0,30.0,7.0,6.1020,4.8810,5.3674
30.0,35.0,7.0,6.0950,4.8800,5.3780
30.0,40.0,7.0,6.0890,4.8780,5.3888
30.0,45.0,7.0,6.0870,4.8780,5.3967
30.0,50.0,7.0,6.0530,4.8270,5.4052
30.0,55.0,7.0,6.0510,4.8240,5.4110
30.0,60.0,7.0,6.0500,4.8230,5.4165
30.0,65.0,7.0,6.0490,4.8230,5.4212
30.0,70.0,7.0,6.0480,4.8240,5.4261
30.0,75.0,7.0,6.0460,4.8250,5.4305
30.0,80.0,7.0,6.0450,4.8260,5.4344
30.0,85.0,7.0,6.0430,4.8270,5.4378
30.0,90.0,7.0,6.0420,4.8280,5.4415
30.0,95.0,7.0,6.0400,4.8290,5.4453
30.0,100.0,7.0,6.0390,4.8310,5.4490
30.0,10.0,8.0,6.3280,5.3200,5.2824
30.0,15.0,8.0,6.0990,4.8590,5.3113
30.0,20.0,8.0,6.0740,4.8070,5.3338
30.0,25.0,8.0,6.0460,4.7700,5.3537
30.0,30.0,8.0,6.0080,4.7050,5.3674
30.0,35.0,8.0,6.0000,4.7040,5.3782
30.0,40.0,8.0,5.9940,4.7020,5.3890
30.0,45.0,8.0,5.9910,4.7020,5.3969
30.0,50.0,8.0,5.9880,4.7030,5.4055
30.0,55.0,8.0,5.9470,4.6350,5.4112
30.0,60.0,8.0,5.9460,4.6360,5.4168
30.0,65.0,8.0,5.9450,4.6360,5.4215
30.0,70.0,8.0,5.9430,4.6430,5.4264
30.0,75.0,8.0,5.9410,4.6380,5.4307
30.0,80.0,8.0,5.9400,4.6450,5.4347
30.0,85.0,8.0,5.9380,4.6410,5.4380
30.0,90.0,8.0,5.9360,4.6480,5.4418
30.0,95.0,8.0,5.9340,4.6500,5.4457
30.0,100.0,8.0,5.9330,4.6510,5.4494
30.0,10.0,9.0,6.3280,5.3200,5.2824
30.0,15.0,9.0,6.0310,4.7320,5.3113
30.0,20.0,9.0,6.0070,4.6820,5.3338
30.0,25.0,9.0,5.9660,4.6180,5.3537
30.0,30.0,9.0,5.9200,4.5480,5.3674
30.0,35.0,9.0,5.9130,4.5480,5.3782
30.0,40.0,9.0,5.9070,4.5460,5.3890
30.0,45.0,9.0,5.9040,4.5420,5.3969
30.0,50.0,9.0,5.8620,4.4810,5.4056
30.0,55.0,9.0,5.8610,4.4820,5.4113
30.0,60.0,9.0,5.8600,4.4810,5.4169
30.0,65.0,9.0,5.8570,4.4820,5.4216
30.0,70.0,9.0,5.8560,4.4840,5.4266
30.0,75.0,9.0,5.8540,4.4860,5.4309
30.0,80.0,9.0,5.8520,4.4870,5.4349
30.0,85.0,9.0,5.8510,4.4890,5.4382
30.0,90.0,9.0,5.8490,4.4900,5.4420
30.0,95.0,9.0,5.8470,4.4920,5.4459
30.0,100.0,9.0,5.8460,4.4900,5.4496
30.0,10.0,10.0,6.3280,5.3200,5.2824
30.0,15.0,10.0,5.9730,4.6240,5.3113
30.0,20.0,10.0,5.9350,4.5500,5.3338
30.0,25.0,10.0,5.8950,4.4790,5.3537
30.0,30.0,10.0,5.8660,4.4370,5.3674
30.0,35.0,10.0,5.8270,4.3830,5.3782
30.0,40.0,10.0,5.8210,4.3800,5.3890
30.0,45.0,10.0,5.7810,4.3210,5.3970
30.0,50.0,10.0,5.7780,4.3220,5.4056
30.0,55.0,10.0,5.7760,4.3260,5.4114
30.0,60.0,10.0,5.7370,4.2620,5.4169
30.0,65.0,10.0,5.7360,4.2620,5.4216
30.0,70.0,10.0,5.7340,4.2640,5.4266
30.0,75.0,10.0,5.7320,4.2690,5.4310
30.0,80.0,10.0,5.7310,4.2700,5.4350
30.0,85.0,10.0,5.7290,4.2720,5.4383
30.0,90.0,10.0,5.7280,4.2730,5.4421
