ST_NO,SW,DB,AND
ST0001,95,30,0
ST0002,50,50,0
ST0003,15,30,15
ST0004,90,50,20
ST0005,75,20,20
ST0006,100,80,30
ST0007,15,10,30
ST0008,100,100,33
ST0009,65,60,35
ST0010,90,20,38
ST0011,100,70,43
ST0012,90,45,45
ST0013,90,60,47
ST0014,100,100,48
ST0015,75,80,49
ST0016,90,100,50
ST0017,100,30,50
ST0018,100,100,58
ST0019,100,100,60
ST0020,90,80,69
ST0021,100,100,75
ST0022,100,100,95
ST0023,100,100,96
ST0024,100,100,100
ST0025,90,100,100
ST0026,100,100,100
